x	y
Remind me again in one hour	Found
I need to be called as SR. How do I do it?	Not Found
Call me 4.30 to 5.00 in every 5 min	Not Found
Remind me to wish Utkarsh on his birthday on 4th Jan	Found
Thnx 4 reminder	Not Found
I just want the reminder once	Not Found
How many reminders can I set for one day? Is there a limit?	Found
12 am	Not Found
Remind me today in the evening 7pm to go to tailoring shop	Found
Set 3 alarms from 6 - 6:15	Not Found
but this number reminder 9624711894 and 9173596097	Not Found
Alarm on 1:30 pm	Found
Remind me about train monthly pass on 7th Feb at 12:00 pm	Found
Just remind me every day after 8 to prepare for that	Not Found
Remind me at 9:50 p.m	Not Found
Hey Deepti Is there a way to put Haptik's Reminders in DND?	Found
I need reminder for everyday starting from today	Found
And remind me about cash deposited about 9 15 am today	Found
I m bot getting the alarm for reminder	Not Found
We will do it later	Not Found
Tomorrow 10 am. G S Bank Meeting please remind me	Found
Remind me for lunch planned by abhijeet by 9 am 2nd dec	Found
Remind me for document editing	Found
Set a reminder for tea	Found
Set a reminder to talk with ppl at 12, 2 and 3:30	Found
But call me	Not Found
remind me to buy gifts tomorrow at 5:30 pm	Found
Reminder about tickets to hyd at 9.55	Found
What else u can remind me	Not Found
Remind me tomorrow evening 5pm	Not Found
Please send me reminder every 2 hours	Not Found
My reminder was at 7.45	Not Found
Remind me on given number	Found
For my reminders, do I need to keep my net on?	Found
Please remind to Check Anzer elapa s new file posting, file Vakalath	Found
Change in reminder	Not Found
i think 3 messages u have set	Not Found
Two more reminders. Pl. Note them	Not Found
Remind me to watch Sherlock season 4 on 7yh jan at 8pm on AXN	Found
Remind me to send resume to deep n khushal at 5 pm today	Found
In a meeting ryr nw...	Found
Set reminder for pickup goods	Found
Please call me after every 5 minutes until I pick up the phone	Found
If I get reminder again in an hour I will uninstall the app	Found
Tell me... About 28 oct.	Not Found
Shut down all my alarms for today	Found
Hey, can you remind me to pay my examination fees today at 12:15?	Found
Remind me tomorrow at every 1 hour starting from 1 pm to get the documentation done	Found
Remind me to take dabbas brush cams chargers flask paisa	Found
To call advocate kaushik today morning at 10am, ask him to put early hearing request for Lok adalat. And to pay him 5k with leaving balance of 5k to be paid at the time of final order	Found
Reminder plzzz	Not Found
Can you schedule it for 4 30 PM instead?	Not Found
I want to know more about this app	Found
Nursery Ptm reminder on 22nd november 10am	Not Found
Remove alarms	Not Found
Can you remind me that i have to do my home work on 1:10 pm	Found
Can you reminder Tuesday for bus ticket booking	Found
Also remind me to text sameena axis bank today at 1pm	Found
Set a reminder to pick phones charges at 5	Found
Can u remind me	Not Found
Thanks for the reminder Gaurav	Not Found
Taken...Thanks for reminders	Not Found
Remind me to make payment to Srikanth tomorrow at 11 am	Found
How to delete a remainder	Not Found
Can u remind again in an hour bro?	Not Found
I am already sharing about this app to all my friends	Found
Remind me to go to tution after a minute	Found
Hy	Not Found
Reminder me till. 9 december2016#	Not Found
reminder for???	Not Found
Can you remind me of team work assignment at 11:30 am today	Found
Call me and tell me I have my exams	Found
Remind me the following list on Monday at 4 PM: Closure of PCIP for Jasveen and Pankaj Jain	Found
Can you close the reminder	Not Found
Please deactivate my reminders	Found
Thx for reminding	Not Found
I am on other work so can you please remind me this work @ 9 pm?	Found
Remind me wen i am in tirupathi	Not Found
Thanks to remind me	Not Found
Remind me of scanning at 1:40 pm	Found
Bike insurance,Internet tariff reviled,Curtain,Swati Insurance,gift,to be remind every hour...	Found
What about today Today also banks r closed	Found
Pls remove al reminders	Not Found
8am	Not Found
Teeno time call ayega?	Found
Thanks Chirag for the Reminder	Not Found
Thanks for calling on 12 O clock	Found
You may have 4 reminder in my name's for tomorrow	Not Found
Set a reminder cll ,7am for same date fir studies	Found
Explain me in brief about the app	Found
Make me remain with alarm on 27 November 2016	Not Found
Hey Mayank thanks for offering. I shall let you know my to do list	Not Found
Hey please unset all my reminders immediately	Found
Hi can you remind me to take sparkles for outing tomorrow 8:00 am	Found
Just got up, felt bit lazy..may be at 12pm or 12.30pm let's do to do list..	Found
Also remind me to send am email to IIT Kanpur	Found
remind me to invite tawde tomorrow	Found
Thanks for reminding . Work done.👍	Found
I want to change reminder ringtone	Found
Thanks for keep reminding me	Found
I hv to set a reminder	Not Found
Alarm for 5.00 am	Not Found
Could you also set an alarm for 8 am tomorrow	Not Found
Remind me to pick my debit card tomorrow from standard chartered bank	Found
Remind me on 23november	Not Found
Plzz remind me at 8:30 am in morning to go to the temple	Found
Set me a. Remainder at 5;00	Not Found
I m getting the remainder in every 2 hrs...	Not Found
How do u remind me?	Not Found
Aman..remind me to renew laxis website on 20th nov	Found
Please remind	Not Found
I want to set a reminder for tomorrow	Not Found
Remind me to take Sarthak to office on 23rd December	Found
Hi can u remind me to book tatkal train tkts	Found
Can you please set a general reminder at 12.00 noon, 1.00 pm, 2.00 pm, 4.00 pm ,6.00 pm, 7.00 pm, 8.00 pm and 10.00 pm?	Not Found
Reminder to gopal to deposit cheque on 15th jan	Found
Remind me at 4:20 pm today for my interview	Found
Remind me on the 5th please	Not Found
Naah. Ty.. it worked the first few days but u get used to reminders after that! Ty anyhow..	Found
Hey i am going to sleep please remind me after 7 hr. From now.	Found
Plz set a reminder for me	Not Found
Csncel alarm at 6.30	Not Found
But remind me of biometric after 6 minutes	Not Found
Pls remind me till 10 pm	Not Found
Need alarms	Not Found
there ll be a phone call which i ll receive or how?	Found
Well can you call me at 8582837187 instead of the registered number?	Found
Plz set reminder for me	Not Found
Hi can you remind me to buy 500gm panner at 6pm today!	Found
Remind me to wish my friend	Found
Set it for appointment at rto	Found
Do one thing set it for 4:30	Not Found
Remind me too complete my journal@ 6 pm	Found
Pls remind me every Wednesday night to oil	Found
Reminder to convert dd into cash	Found
Please end this reminder	Not Found
Remind to check wifi net today at 10:15pm	Found
09825159617	Not Found
Thanks for reminding me every day	Found
So convert it to calls	Found
Need reminder on Monday to work on dbaux approval .	Found
I will give one number You called eme	Found
Please make me remind on 28th of November to collect notes from my friend.	Found
remind me	Not Found
K thanks	Not Found
for anniversary?	Not Found
Reminder applying bank check at 9:30 am tomorrow	Found
9clock	Not Found
Wat d dollar price today	Found
Remind me at 10:00 pm today to eat my dinner	Found
Reminder wash my face for every 5 hours	Found
Hey can you remind me to take a package tomorrow at 9.10 a.m.	Found
Remind me abt test to be done at 1315	Found
I will rate nce i get reminder	Not Found
Pls remind me tomorrow 8 pm	Not Found
Remind me today is Manchester utd vs Everton and real Madrid vs Barca separate times	Found
Remind me to study at 6 pm today please	Found
Can you remind me to eat fruits	Found
Remind me to tell the shipping and logistics guys to apply for their visas.. Also share flight details, logistics forms, hotel details etc with them.. Please remind me at 10:30 am today	Found
Set up an alarm at 4am	Not Found
Reminds me to drink black coffee in the evening	Found
heyyy varnikaa cn u plzz set a reminder	Not Found
Please make reminder 5 o clock for biryani order Oshiwara	Found
I had kept a reminder on 8th October	Found
Hi damu	Not Found
Only remind me one time only	Not Found
Reminder	Not Found
plz set a reminder on 22nd nov	Not Found
Reminder for playing	Not Found
I want to know what did PM Modi said about this	Found
Call Mrs swarnakanta , today 6 pm	Found
I had requested for a reminder for 8.30pm	Found
Remind me to carry my hdfc chq book tmw at 0855am	Found
tr reminds	Not Found
Plz remind me to put kailas jeevan @9.30am tomrw-03.12.16	Found
In what way u will remind me	Not Found
Set a reminder to send a image	Found
Remind me to watch humorously yours tomorrow	Found
Please set a reminder for my appointment with Doctor at 03.00 pm today.	Found
Hi. Please remind me at 7:30 a.m. on 1st December to take my cheque book.	Found
Ya sure	Not Found
Meeting Reminder Date: December 2, 2016 Time: 4 30 PM Meeting with: Inamdar Venue: Sanghvi	Found
8november 12am remind me	Not Found
Request you to plz remind me tomorrow after 7.30pm in evening that I need to book a reservation for mum is that cool..?	Found
I have to take a card to my driving class.. Remind me at 8.30am tomorrow	Found
Try calling me 2-3 times i have practice in d morning	Found
thankyou but i just finished my breakfast so remind me in half an hour or so	Not Found
Please remove reminders or else I will delete the app	Found
Hi Shradda...Hope u remembered our chat that we had sometime before :)	Found
Please remind me to keep - vandan's pendrive!!	Found
Remind me to give some important document	Found
Remind me to take copies of documents tomorrow afternoon.	Found
Tell me wen u got any news about that tamilnadu cm jayalalitha is dead	Found
Set 3-4 reminders	Not Found
I want to change schedule	Not Found
Box decorations schedule at 5pm	Found
Set a reminder when train 12222 train reaches Daund junction today	Found
Please deactivate all my reminders	Found
Remind me after each hr till to the 12am tonight	Not Found
Will I receive a call at 11?	Found
Fr eating also I can say u to reminder me	Not Found
Remind me to make things to do for tomorrow at 11 pm tonight	Found
Hi still I am receiving reminders	Found
Daily reminder is already set for 10:30pm, I want it to change it to 1pm daily	Not Found
Please remind me of discussion with my boss	Found
Wt it is	Found
Twommor morning 11am remaind me	Not Found
Can you remind me tomorrow ?	Not Found
But I want to set some reminder that reminds me on every Friday 3-4 times	Found
Sure.	Not Found
Hi i need a reminder for transferring money to Dr. Nagarjuna	Found
9704877612	Not Found
Hi I want you to remind me .. I have a meeting at 11 am with satish tomorrow	Found
Remind me at 10.30	Not Found
Hi, Remind me to change my password at 5:30 pm today	Found
It's my friend b'day on 2nd December..do remind me at 12 to wish her..	Found
More 1 reminder	Not Found
Its my frnd's bday on 3 jan. Will u plz remind me that.	Not Found
Thank you so much Harshad....but plz remind me...	Not Found
1st april	Not Found
I think haptik forgot me to remind at 4pm today	Found
Pls remind me for booking train ticket tomorrow	Found
Remind transfer money to IDBI on 01.01.2017 8.30 am	Found
And remind me to take conference list	Found
Remind to wish a friend for his bday at 11:50 pm today	Found
Will you remind me purchase gift for my wife?	Found
Reminder in the name of Mr katyal	Not Found
Thanks Vipul for reminding me daily	Not Found
I need another remainder	Not Found
Hi can set a lunch remider for me	Not Found
Please remind me at 4.15pm today. Audit closure meeting	Found
U remember me????	Not Found
Talk to Narendra sir on Thursday	Found
I have missed both reminders... Anyway thank you	Found
I want to set alarm	Not Found
Thanks I got the reminder	Not Found
set reminder for light bill complaint	Found
Can u give me same remainder in another 30 mins	Not Found
Please remind for policy at 3:30 pm	Found
Plz remind me to read news paper at 12 :10 pm	Found
Frequency of Reminders: 30 min	Not Found
Remind me to take a meeting time from Aditya designer at 4 pm today	Found
Remind me to remove my charger	Found
Set me reminder	Not Found
Remind me to meet my cousin at 3:30 pm today	Found
Plz remind me to take out the food from car	Found
Sneha there should be two reminders everyday	Found
Remind me when the world gets over	Not Found
Reminder Date 1-1-2017 Time 11 am Subject- take cash	Found
Remind me to finish reading Agatha Christie	Found
Can you please remove the reminder by call.. just a notification is enough	Found
Thanks from reminding me	Not Found
Date of birth Reminder please	Not Found
Pls remind at 8.30 pm to get invitation card	Found
And can u set it to do it everyday too pls	Not Found
general reminder for today at 10:30 pm	Not Found
Remind me bathing at 11:15am please	Found
Remind me today at 4 Pm to visit my doctor	Found
Please remind me to pay my toll at 12 noon	Found
Make me a call on 8804033000 if my nmbr is nt reachable	Found
WRONG Reminder	Not Found
Is it 10days reminder or only for 11 dec	Found
Pls set alarms between 9:30 am and 10:30 am???? Each at interval of 5 mins??????	Not Found
also reminder for due date of just dail is	Not Found
can you plz close the reminder	Not Found
Set alarm morning 8:am	Not Found
Mera reminder bajta h nahi	Found
Remind me to take cheque from husband	Found
Could you please remind me to wash clothes by 9 PM today?	Found
I need to put this alarm from Monday to friday	Not Found
Ohhh u only remind..won't help in solving problems	Found
Can you remind me to complete assignment in brand equity which has t9 be submitted on Monday?	Found
What will you remind me about on 7th Jan?	Not Found
Remind me to apply for transfer at 1100am tomorrow	Found
Remind me 8:15pm to beat my dog	Found
I am having to do list for today	Not Found
Shreyansh could u plz set this up ASAP	Not Found
Remind me after 1:30 Hr	Not Found
Thank you so much for the reminder	Not Found
There's something more to remind me today	Not Found
Set me a reminder for 7:30 am	Found
Remind me to eat boiled eggs everyday at 7pm through text message	Found
Please erase the reminder for tomorrow	Not Found
Ty for reminding me	Found
Can you remind me everday	Not Found
One more reminder to set	Not Found
Remind me tomorrow at 10:30am to courier pieces to Asia Spa	Found
Reminde me collect cheq at 10am tomorrow	Found
Meeting hairdresser today ; Pls remind me after 1 month to meet him again	Found
Remind me to get my fee paid.	Found
Pls remind me sahil's birthday on 7th October	Found
Hw will u remind	Found
Remind me to check airtel bills	Found
Can U schedule that for the next whole month ??	Not Found
Can u set d same time every day for me plz	Found
Remind me to ask chhavi to teach me at 7 today	Found
Ty for reminder	Not Found
Remind me tomorrow morning to get laptop	Found
Remind me to go to saloon today at 8:30pm	Found
Remind me to prepare	Found
Please remind me to take Passport with me, tomorrow at 8.45 am	Found
Remind for tiles	Found
Today remind me after one hour	Not Found
Want to change the date of reminder.	Not Found
Remind me on 2-01-2017 and 03-01-2017 @1:55 pm for my metting	Found
Remind me to shop today at 6.46	Found
Meeting Reminder Date: January 9, 2017 Time: 10 00 am Meeting with: Shrey Gupta BA task	Found
Morning 7 am	Not Found
I had requested you to cancle the reminder at 5:45	Not Found
And also remind me to punch out everyday at 6 pm	Found
I need you to remind me every 10 minutes.	Not Found
Can I activate others reminders also same day it's possible	Not Found
Reminder was set up?	Found
Remind me to recharge my phone	Found
Remind me today at 845 am to provide Haliyal freight to cochin chennai	Found
Need to keep some reminder	Found
8109851953	Not Found
I have set reminders for every day, where I can find and manage them	Not Found
I want to know about career opportunities	Found
I need help about transactions	Found
Remind me to drink coffee at 3:05 pm today on 9049961794	Found
for ur remind	Not Found
Give reminder at 4 pm	Found
Set one more reminder at 3:45 am	Not Found
please can you confirm hos to go about with the cab services	Found
Tom 2 pm call to Monil for Roc form Tom 11 am call to Yash for vat return	Found
Please call me to remond	Not Found
reminder at 12.05 am on 24th november	Not Found
Can u give details about aprilia 300 cc scooter	Found
Remind me to buy books 📚	Found
Remind on Jan 7	Not Found
Hi thanks but I m on leave today	Not Found
Nothanks	Not Found
Dnd	Not Found
Set remainder at 10 am tomorrow	Not Found
I have to receive that call?	Found
Can u remind me without internet	Found
Remind me at 10 am Tomorrow to remind bipro to bring iser baudrillard tomorrow.	Found
Remind me to post on Juhu group on 9th Dec at 10:30am	Found
Set all reminder to alarm at given set time	Found
Remind me tomorrow 6pm to take print of roll number	Found
Can you access my contacts??, Can u schedule a msg to one of the contact from me??	Found
Remind everyday	Not Found
Set the book remainder to 3:30 pm on 11/10/16	Not Found
Hi set reminder	Not Found
I think you forgot to remaind me that how many days are left for 10 March	Found
remind me for dinner	Found
Yes..... you reminded well... thanks for that	Not Found
Is it possible to extract the birthday reminder from Facebook on this app.	Found
Remind me every 2 hrs	Not Found
But I have alarm for that😋	Not Found
I was supposed to get a call at 7	Found
Pls remaind me 10:00 movie	Not Found
Remind me Monday morning at 9am to courier pieces for Miss World	Found
Remind me daily Monday to Friday about status mail at 8.30 pm	Found
Remind me to check my bank balance	Found
To day I have to courier the demat details remind me at 9	Found
Thank you Varsha. Remind me of Ticket booking by Nov 30	Found
Wish Birthday Name: Rishi,sundeep, bunty Date: November 26, 2016 Time: 11 55 PM	Found
End my all reminder	Not Found
Hai I would like to request to remind me after half n hour to meet bank manager	Found
I will be able to have in between but if I forget the reminder will be there	Found
February 24	Not Found
When madhu is call , call and tell him to Ajit is bathing	Found
Can you set the reminder for 1pm on 30th dec	Not Found
To reminder for cheque collect	Found
Hi can reminder at 6o'clock	Found
Can u tell me about amu exam dates?	Found
And do remind me one second on 10. 10 as well	Not Found
Do i have to remind you to remind me	Not Found
Want u to reminde me what i gonna say to you	Not Found
Thanks for remind me sayali	Not Found
Whoz b'day is tomorrow?	Found
Need to set a reminder fr me can u help?	Found
Can you set my remainder	Not Found
Reminder at 2 pm for attendance regularization	Found
Can you set a reminder for dance class at 10:00am everyday	Found
Plz give me a reminder cal instead of reminder msgs	Not Found
Remind me to drink tea at 5pm today	Found
Reminder for taking xerox of peer rating sheets	Found
Remainder me tomorrow at 10:30am to go to bank	Found
Kindly set new reminders	Not Found
Okkk..	Not Found
Call me at 5:00 today	Not Found
Can you please remind me to send a mail in the evening?	Found
Tell me about Brand Factory Kolkata	Found
Remind me today at 2 pm for paying gas bill	Found
Today evening	Not Found
21 Nov call to Kiran on 12	Found
Dinner reminder for today	Not Found
Thanks vanisha for the reminder	Not Found
Kindly call on 8686688030	Found
I wnna set reminder	Not Found
If I want to remind someone else is it possible	Found
After the wakeup call	Found
I am done thanks for remembering	Found
Pls deectivet my alarm	Not Found
Remimd tommorow about my travel at 10 am	Found
Close that reminder	Not Found
Reminder to buy deterigine @9.30pm tonight	Found
Remind me of going to hazira tomorrow at 1pm	Found
I need to set a to do list of mine	Not Found
Add a new reminder	Not Found
As reminder please give me a alarm	Found
What is my reminder	Found
i want a to do reminder	Not Found
Remind me to activate my paypal accout at 1pm	Found
At 7 pm remember me- meet to sim cad activation dealer	Found
Ok how	Not Found
You missed one schedule	Not Found
I thought I would receive a call.	Found
Enough of getting call	Found
Reminder for me	Not Found
Can you remind to Iron my clothes in evening	Found
Rofin	Not Found
Can I schedule my appointment on sathe day	Found
Remind me to watch the flash at 6:30 P.M	Found
Today 11:00 remind me to recharge on paytm	Found
Can you remind me to the different number	Found
You forgot about the reminder	Not Found
U can remind me about my friend birthday on 25	Found
Remind me tomorrow at 11am to send et lenhga to Mumbai	Found
Set the reminder saying i gotta be ready fr tomorrow's prize distribution	Found
And one more alarm too	Not Found
Can you remind me send an important email tomorrow???	Found
Can you remind me to take UNO cards on 8 December at 10. 00 am	Found
Sayali plz cancle my hole schedule	Not Found
Outforce question Sunil Rao. Hdfc mediclaim. Health check up. Reminder 9.30 am 24 Nov 2016	Found
Remind me to go to kundan palace	Found
Remind me to go to get fruits and grocery today at 3 pm	Found
Remind me to write a mail to PAG tomorrow	Not Found
Reliance Recharge 397 for the month of December 16. Please remind me. Thanks Ramesh	Found
Why u have nt called me	Not Found
Remind me to get inf	Found
please set reminde ... HDFC Personal Loan EMI due on 3rd of every month	Found
I want reminder At 7:15 pm today	Not Found
Can u remind this on every Saturday same time	Not Found
Thanks for reminding for these many days	Found
Ok thanks.. pls start reminder from Tom.	Not Found
Yaa remind me to have a breif revision of powr plant	Found
Okay remind me to collect debit card at 8am Tmrw	Found
Set a reminder for 9 pm	Not Found
Ok... But remind me every 6 hours	Not Found
Tell me something about cortana	Found
At 10	Not Found
Remind a friend if mine	Found
Da	Not Found
Remind me to get syringe box and injection betnesol tomorow at 8am	Found
Also pls set reminder for today 11 30 pm erlo	Not Found
Remind me to give the count of guest for Hand delivery at 4:30pm on 8th January 2017	Found
Pls let me know do u have missed call facility?	Found
Evertime i sy thanks to u whenever i recd a reminder from u	Not Found
Please do remind me	Not Found
Set a reminder for every two hour	Not Found
Wish Birthday Name: Dr dipali.gautami Date: November 15, 2016 Time: 6 53 PM	Not Found
On Nov 7 , 2.30 remind me that I should restart a process at office	Found
Wrong reminder	Not Found
Thank you very much for the continuous remind.	Found
Can u please send me all my reminders	Found
Please remind me to bath after 5 min	Found
I wanna set reminder	Not Found
Remind me for check your app	Found
Remind tomorrow to place Vibhash order at 10 15 am	Found
I had asked you to call	Found
Remind me every 30minutes	Not Found
Remind to do pulse check of Pranay and abhinav	Found
Plz remind me tomorrow to submit gtu form	Found
Remind me in the morning. At 8 am	Not Found
On day after 2mrw	Not Found
Remind me of credit card payment on 3rd january. At 11 am.	Found
Re remind me at 11 o'clock 11 morning	Not Found
Mr Ankit tell me u about job dude	Found
Daily remind	Not Found
Kindly make a reminder at 6:07am that I need to login my work	Found
Remind me to go to 10th floor @ 4:05 pm today	Found
Hi I wanted information about buying a mobile phone	Found
Remind me 9pm for Sameer work cot	Found
Can u call me now	Not Found
Yea remind me roz	Not Found
I want you to remind me about my today's train.	Not Found
Now tell how you remind ?	Not Found
Yeah please	Not Found
Can you remind me to bring shoes from home to office at 8Am	Found
Remind me to get my hard disc to office around 10:30	Found
Okay...but till what time will I be getting the remainders	Found
Remind me tommorrow	Not Found
Half an hour remind me to get a change from conductor	Found
Can u remind me to book a cab in 5 mins ?	Found
Remind me to submit my taxes and pay the man all my money at 12:20 pm	Found
Thanks harsh for reminding me	Found
Remind me to recharge my father phone	Found
Remind me at 11:45am that I have to send a boy to Fali's place with a hard disk and cheque	Found
Remind me about quiz sheets	Found
Reminder for pen drive	Found
Is it necessary to talk only about reminders???	Found
Rod cut,dvd,fan,ticket book,garden,call rekha,battery,pipe back,purify arrange	Found
Meeting Reminder Date: January 4, 2017 Time: 5 45 PM Meeting with: Venky Venue: Ground	Not Found
Remind me Joya account 10 30	Found
Reminder to wish all juniors for their exam on 16th dec at 11am	Found
Thnkiew for reminding	Not Found
Can u pls remind me the same	Not Found
Can u remind anything to any other number?	Found
Please set me a reminder	Not Found
Give me the call on a time. It's very imp meeting.	Found
It's been really satisfying that I can now schedule healthy habits with Haptik support, thank you👍	Not Found
Remind to prep for stand up at 11.50 am today	Found
Remind me to drop documents to kakaria tomo at 930 am	Found
Remind me to deposit Sanjeev Varma's cheque tomorrow at 12:30pm	Found
Good morning afan... yes, thank you so much... I had over three litres yesterday, please make this a daily reminder	Found
Ty for all the reminders..	Found
Hey there is change in the schedule can u please change the set alram	Found
And after 4 pm call ankita tawde for new serial	Found
Hey anjali can you set a reminder for me	Not Found
Tomorrow remind me to check my bank balance at evening	Found
morning	Not Found
Thanks for reminder.	Not Found
Remind from 10 am to 6 pm	Not Found
Remind me to collect keys and transfer stuff from my old back to new	Found
Kno about nearby theatre	Not Found
Can you remind me about going to bank at 9 am	Found
Every hour reminds me	Not Found
can u call directly to him	Found
I asked you to call	Found
Please remind me to contact ICICI Limited for claiming maturity money for investments in Safety Bonds.	Found
Pls unset this reminder	Not Found
Remind me to wish Bday on 11 jan	Found
Remind me at 9 am tomorrow	Not Found
22 nov remind	Not Found
Remind me to message ravleen on 15th of November at 12 pm	Not Found
Hey :) how ?	Not Found
Just missed your call	Not Found
I told haptik to remind me a particular task but you only remind me !!	Not Found
Hi Maroofa, I can set to-do for you and keep a list of your day-to-day tasks at one place. Should I go ahead?	Found
Thank you, need to set one more reminders	Found
I needed snooze alarm	Found
Will I get a call when am offline	Found
This reminder is for the Skype chat with our client	Found
6 pm reminder please for today	Not Found
Hey is it possible that this can be scheduled for everyday	Not Found
Remind me in the morning to masturbate	Found
Remind me for a meeting with Sangeetha mob anil kumar	Found
Remainder me 17th November 5:20 pm	Not Found
Hi set a wack up alarm for me at 8 am	Not Found
Remind me today at 7:00 also ok?	Not Found
Do I need internet to be reminded?	Not Found
Remind me to transfer money to N	Found
Remind me about Yang Feng at 9am today	Found
Please remind me to purchase a mask	Found
Concall at 8.14am today. Please remind	Found
Birthday is on Jan 20. Am I right to select 19 Jan.	Found
remind me to check the list of urologists in hyderabad tomorrow @ 12:30pm	Found
remind me for chque handover to smsc on 29th nov at 11am	Found
Remind me for movie timing 8:30 pm on Saturday	Found
Hi Sayali..is there any limit to how many reminders i can set?	Found
Set a reminder to watch a movie for today 3 06 pm	Found
Please remind me to take Muzaffar pendrive to office tonite at 9	Found
Remind me at 3:55pm today	Not Found
Again one reminder	Not Found
remind me @11:55 am	Not Found
Can u pls tell me how to remove this reminder	Not Found
Remind me to text liz in 15 mins	Found
What about the reminder I set for 12:30 pm today?	Not Found
Can you please remind me in every 30 mins instead?	Not Found
Please remind me for DA calnders design at 12 pm today	Found
Can u remind me to catch Indian idol at 8pm tomorrow?	Found
I give u 5 stars if u remind me of my name	Found
Shraddha I need a remainder for my badminton class	Found
Thanks but i'd appreciate if the reminder comes at least 20 minutes ahead of the scheduled time.	Found
Fine it was set earlier but now getting any reminder	Not Found
Reminder on monday at 830 am to carry paaspory.	Found
and to prepare a flow chart about how to convince president for idea	Found
On 21jan 2017, reminders for CS firm	Found
CA I trust on my reminder	Found
Remind me everyday for quess login	Found
Hey are you remember December 25	Not Found
Hello reminder of CE at 6:35 today	Not Found
Would you be reminding everyone	Found
I just gt ur reminders	Not Found
Can you remind me to do study	Found
I need a reminder on 15th Feb 7:00 pm to check on my CC statement whether FreeCharge has credited 319 amount	Found
Remind me to read ragesh's material after 20 minutes	Found
Also set a reminder for next Thursday 1:15 pm, stating that the 'ELECTRONIC WORKSHOP' lab would take place in Nilgiri 104.	Found
I want to know about shopping	Found
A want to change my schedule	Found
Remind about cash collection tomorrow@ 9.30am	Found
Can u please remind me for a checkup visit to the hospital?	Found
U just called me from any number	Not Found
What are todays left over reminders?	Found
I ve told u to remember on 10.30 am.. now it's 10.53	Not Found
Remind me to go for a walk every evening	Found
I need to edit some photos could you please remind me at 10 am	Found
Can you please remind me my cheques date	Found
Reminder about doctor	Found
Tell me about apple iPhone 7 and 7	Found
Can you tell me my pending reminders	Found
Please remind me to send email to SM tomorrow at 9:30 Am	Found
How you will remind	Found
you literally just set a reminder to kill myself	Found
Hi can you remind me to pick my laundry	Found
Can i know how to delete the scheduled remainder	Not Found
Hey can you remind me to put my calculator in my bag	Found
Just remind me before 4 that is my 3 o'clock that I have to take something before leaving my home ok	Found
Can you give countdown reminders	Found
And remind me to book a tattoo appointment at 3	Found
Reminder me for boating in river	Found
I need u to set a reminder for me plz	Not Found
Call me on 9558417661	Found
Pl remind me at 2:00 pm to send a mail to Ms Pragti regarding roasted chana	Found
Reminder to attend a function of CS- deva mohapatra on 17-01-17 evening 6pm	Found
Remind me tomorrow evening 6.00 pm to take pic of moon	Found
Can you please remind me at 7.45 am tomorrow to take my boliter suit	Found
Please remind me tomorrow at 11 for calling coaching centre	Found
Tell me about new year parties in Pune ?	Found
Remaind me to take my process books today to office by 8:45am and even about Pendrive also	Found
Remind me to use my haptik balance before it expires	Found
Hi can I have multiple reminders listed.?	Not Found
Remind,me at 11am tom to write mom and email from fda	Found
Can you remind me for food	Found
Pls tel me what all reminded u hav for me ??	Found
Pls remind me in another half hour	Not Found
Hey Leena .... Give me a call in half an hour	Found
Call me 10 times at every 5 min	Found
Remind me to go to school on 15 november 3 pm	Found
Please remind me for dental check up today at 7pm	Found
Remind me tomorrow about campus drive	Found
How will you remind me	Found
3.30 pm. Meeting kalpaj choudhary	Found
General reminder at 8.30 am sunday	Not Found
remind saying movie at 8:00 pm	Found
Please remind me of buying the air ticket at the same time	Found
Pls remind me to keep the documents of Ram sanjeevan new case for tomorrow @9 pm tonight	Found
Reminder time upto 10PM	Not Found
Yes remind me everyday	Not Found
Can you please remind me to go to CNMS at 9:50	Found
Remind me to take nail cutter at 22.00 tonight	Found
Remind me on 17 dec its my best frmd deeps bday	Found
please remind me after 11am-10pm would it be ok	Not Found
Remind me....daily.....	Not Found
I'll ping in some time	Not Found
I would like to add one more reminder	Found
remind me to sleep after 10 mins	Found
I want this reminder everyday	Not Found
Date: November 18, 2016 Time: 11 35 am Name of Person: Call gurpal of mahindra & mahindra	Not Found
how to put sound for reminder	Found
Remind me tommroe at 8:50 pm about movie on star plus	Found
Remind me my gym time everyday	Not Found
Hi please remind me tomorrow for invitation card	Found
Hari Krishna 18 December	Not Found
Set a reminder to inform about the BBPL cricket match today.	Found
Remind to pay TDS for the latest floor slab	Found
Remind me to apply for the VP Engineering post at Haptik this weekend	Found
Reminder to recharge at 7pm today.	Found
9.00am	Not Found
Alarm every morning except friday at 8am	Found
Reminder to purchase ropes, cartons, scrub for new apartment today at 7.15 pm	Found
Can you setup a reminder to buy gift for my wife on 14th of this month.	Found
Tomorrow at 6pm remind me to fell EBC form	Found
Thankyou for reminder	Not Found
Hi. Set me a reminder "support pipeline" every Friday at 10 am	Found
remind me to kill myself	Found
Bad reminder. .	Not Found
Can you please remind me the same thing in the morning 10?	Found
Ankit gupta His bday is on 2 January	Found
Reminder to msg fariya	Found
Ki muhje 5 bajne pr ek reminder chahiye	Found
Thank you for the reminder. Hdfc CC is paid.	Found
Can you remind me in 15 mins from now..??	Not Found
how to set a daily reminder	Not Found
Good morning :)	Found
I have set few reminders. For now I need them only. I'll let you know in case I need something else.	Found
Pls also remind me to give 5 nominations for elections	Found
